date,content,like_count,retweet_count,username,verified
2022-05-11 10:51:16+00:00,Baby S’mores and BIG s’mores!!!!! #smores #funcake #huge #grahamcrackers #chocolate #marshmallow #cake #cakestagram #instasmores #instaart #cakeart #giantsmores @ Beverly's Pastry Shop https://t.co/FibTRtz3wa,0,0,BevsPastryShop,False
2022-05-11 10:40:57+00:00,Alans chocolate incident 2.0  https://t.co/je4ph1LUcF #Easter #easterholidays #EasterEggHunt #eastereggs #EasterEgg #chocolate #chocoholic #chocolate #easterbunny #chocolates #chocolat 1,0,0,scarletmonahan,False
2022-05-11 10:38:59+00:00,"🍬 #Throwback visiting the #chocolatefactory at @westfieldlondon 🍭🧁

Got the golden ticket 🎫  @fever_uk 

Shoes: @Nike DUNK LOW SE EASTER WOMENS 🐰🐣💕 Clothes: #shein 

@visitlondon 
@Secret_LDN 
@timeoutlondon 
@StockXSneakers 

#chocolate #fever #colourful 🍫🍩 https://t.co/dUPg3a1LXo",3,0,OrientalBlack,False
2022-05-11 10:22:08+00:00,With #JoeBiden it's #chocolate or #vanilla or maybe #ButterPecan but never ever a twist or mix. https://t.co/JXs3Md4c4n,0,0,RonRonkmfa,False
2022-05-11 10:20:40+00:00,"Thank you @madhungrygirls for stopping by! We are so happy to hear you enjoyed our flavors of the month! Lemon Chiffon Bar, Chocolate Cloud, and M&amp;M Donuts! #kanesdonuts #donuts #monthlyflavors #lemonchiffon #chocolate #mandms #boston #saugus #thebest https://t.co/CmZ5Ijd5IN",16,3,KanesDonuts,False
2022-05-11 10:01:31+00:00,"An exotic and sublime taste experience unlike any other...🍊

Our zesty orange and milk chocolate thins are simply divine 😍

Get 20% off them by using the code below:

🧡 SUMMERTIME20 🧡

https://t.co/0an9CMbqqq

#organicchocolate #chocolatier #fairtradechocolate #chocolate https://t.co/CDdjvOXkrQ",1,2,cocoalocochoc,False
2022-05-11 10:01:23+00:00,"Chocolate is often one of peoples favourite treats 🍫
A gift basket full of chocolates can be sent for various occasions, to please even the biggest chocolate lovers🤤
Which one of our Chocolate Gifts would you send?🎀
https://t.co/E754YiDic5
#chocolate #chocolategifts https://t.co/xpI8vDUjLi",16,8,BasketsGalore,False
2022-05-11 10:00:48+00:00,"Did you know, on average, the number 2 best-selling Confectionery product in 3,363 convenience stores in April 2022 was  @CadburyUK Milk Caramel PM 100. Find out more here: https://t.co/9FEmRTeNQ3 

#Smallbiz #retail #convenience #smallbiztips #data #chocolate https://t.co/fxlQn3W6yk",0,0,rdpshopmate,False
2022-05-11 10:00:08+00:00,"Much of the process is handmade and artisanal. The bean-to-bar or tree-to-bar style retains the flavours from the terroir of the cacao, with distinct tasting notes, much like fine wine or single malt whisky.

#Chocolate https://t.co/9m8DhMKQJX",0,0,DeccanHerald,True
2022-05-11 09:59:03+00:00,"Our delicious white chocolate AU vodka truffles.
Made with Blue Raspberry, Red Cherry &amp; Fruit Punch.
#chocolate #vodka #truffles #foodie #foodies https://t.co/44VkKV6h4B",0,0,LosTruffles,False
2022-05-11 09:57:16+00:00,C$39.99 - #FreeShipping | Start buying in best prices  Love Good Fats Coconut Chocolate Chip Snack #LOVEGOODFATS       👉 https://t.co/XMgiMfnmW4       #sharious  #canadianbestseller  #canada #usa #product #12x39g  #Bars  #Chip  #Chocolate  #Coconut . https://t.co/8N4Qro1lD9,0,0,kanadianbest,False
2022-05-11 09:52:40+00:00,"🤗We are good to send your our goodies again and as a thank you we decided to lower the price of this exquisite and elegant Pacari Box!😍
⭐https://t.co/wUybp7jIZg⭐

#pacari #chocolate #veganuk #vegan #spring #fairtradechocolate #sustainablechocolate #sustainablelivingtips https://t.co/BmhoFmy7qA",4,2,PacariUK,False
2022-05-11 09:50:05+00:00,"Before reading this article, I would have never guessed that AI would make chocolates of all things. Great read, but now I have this urge to both code and eat. Help!?

#AI #Chocolate https://t.co/semgSi1jUS",0,0,vibhuti99262,False
2022-05-11 09:46:23+00:00,"A quick snippet of a shoot we did this week courtesy of @SkySports 🤩⛳️🍫

The full video will follow later this week  on my client’s channels ⏱🎥

PS. Sorry @Thomas_Pieters 😅

#SoudalOpen #DPWorldTour #Golf #Content #Chocolate #Belgium https://t.co/JcAXgXE9uh",1,1,MottramSport,False
2022-05-11 09:44:04+00:00,"It’s national doughtnut week, 7th May-15th May 2022.

What’s your favourite type of doughnut...
Jam, Sprinkles, Custard or Iced? 

@DoughnutWeek

#doughnut #donut #doughnuts #donuts #foodie #food #dessert #donat #instafood #donutlover #yummy #chocolate #foodphotography https://t.co/zsbFni9no6",4,1,f1_colour,False
2022-05-11 09:38:27+00:00,"A super mom yummy pineapple cake.
                  💥💥
For order contact Royal Baker's at 📞7888918435♥️♥️

#homebaker #baking #homemade #cake #cookies #dessert #desserts #cakedecorating #baker #yummy #cakesofinstagram #homebaked #cakestagram #buttercream #chocolate https://t.co/Lhoqwo3xyF",1,0,Royalbakers223,False
2022-05-11 09:30:46+00:00,"Are you ready for our Thai #chocolate adventure today at 12.30PM GMT❓Our Chocolate Chat/insta live is Paniti Junhasavasdikul, Co-Founder of ⁦@kadkokoa⁩ https://t.co/1aFSdFOwP0",4,1,amelia_rope,False
2022-05-11 09:13:16+00:00,Rocky road fudge #chocolate https://t.co/BBmGofFpKs,0,0,bsgibbswriter,False
2022-05-11 09:09:23+00:00,"When customers buy us chocolates we love them even more! 🥰
#customerservice #happycustomer #norfolk #chocolate https://t.co/y1AbxQWoC5",3,0,abbotFox,False
2022-05-11 09:06:20+00:00,Chocolate is amazing and sweet and definitely a yummy treat! #chocolate #facts #amazing #sweet #yummy https://t.co/ZyCBqTrsNI,0,0,JustNewsViral,False
2022-05-11 09:00:03+00:00,"Will Chocolate be Extinct? Are there any Alternatives? Everything You Need to Know

See: https://t.co/DxmDPTiOwb

#isrgrajan #WednesdayMotivation #chocolate #cocoa #extinct https://t.co/fqGXgiS6ZL",0,0,isrgrajan,False
2022-05-11 09:00:01+00:00,We're on a mission at the moment to highlight the amazing opportunities for #chocolate #tourism. Check out our catalogue of destinations and ideas: https://t.co/BolCTCE6It,6,2,CocoaRunners,False
2022-05-11 08:47:00+00:00,"Ascona, Switzerland 

May 11, 2014
.
.
.
#ascona #nocode #chocolate https://t.co/ni3Iozvyoq",1,2,YUKOWAS,False
2022-05-11 08:45:01+00:00,But the more you write the more opportunities come your way the more you're gonna realize hey this isn't just a sales funnel right this is a capital strategy that I've used to reach out to home owners since I've been doing this $T #words #life #chocolate $SONY #nft,1,0,40dollarbutton,False
2022-05-11 08:42:29+00:00,Just wanna say HELLO! 👋 Hope Y'all have a good day! #pinoypaborito #filipino #pinoy #dessert #chocolate #cake #snacks https://t.co/fh3siilpkZ,1,0,shio254,False
2022-05-11 08:31:17+00:00,"𝙈𝙪𝙛𝙛𝙞𝙣 𝙒𝙚𝙙𝙣𝙚𝙨𝙙𝙖𝙮
Get Fresh Muffins in Chocolate, Vanilla or Blueberry for only 50c! Free delivery in the CBD for orders above $3!

Order yours now on 0773218242.

#cakefairyzim #muffins #chocolate #vanilla #blueberry #yummilicious #wednesday #bulawayo #vrzmb https://t.co/jeYB0gazjX",1,0,cakefairyzim,False
2022-05-11 08:24:20+00:00,Mimi going for an operation on her dewclaw today and Mara out with Aunty Kim so mind clearing run on my own #iloverunning #runchat #marathontraining #ultramarathontraining #garminfenix7x #dhb #nike #2xu #stravaproveit #mara #chocolatelab #mimi #chocolate… https://t.co/qtkAvLZIHP https://t.co/wuoMQWMn5M,3,0,depicus,False
2022-05-11 08:17:14+00:00,"NEW @BitchinSauce IN STOCK they are a nice versatile #almond dip we have these falcors;Green Onion, #Roasted #green #Chilie &amp;Pepita, Buffalo,#spinach #Artichoke and Sweet #Chocolate sauce!We are open 10am-8pm Mon-Thu,Fri-Sat 10a-9pm,Sun 10a-5p!#vegan #lasvegas #nevada #womenowned https://t.co/G00WByHNY1",2,1,veginoutmarket,False
2022-05-11 08:08:02+00:00,"Ezra loved the construction cake I made for his #birthday last year - he wanted another one! He’s a true foodie, like his mum. Loves citrus flavours. So lots of orange zest &amp; juice in his #glutenfree #chocolate #cake. A fun cake to make! Happy Birthday Ezra! #freefrom #foodie https://t.co/DbLbFsOlqg",0,0,Marnie_Cakes,False
2022-05-11 08:00:03+00:00,"Will Chocolate be Extinct? Are there any Alternatives? Everything You Need to Know

See: https://t.co/YfgOFgn6l4

#WednesdayMotivation #ISRGKB #chocolate #cocoa #extinct https://t.co/xUqxSwcgTH",0,0,IsrgKb,False
2022-05-11 08:00:02+00:00,"Beauty to the eyes and also delicious!

Try our Fardh Dates with Dark Chocolate, Figs, and Walnuts @thedateroom

https://t.co/lPNvcHfNRS

#dubai #uae #mydubai #ajman #abudhabi #alain #sharjah #dates #emirates #emirati #emiratiarabi #stuffeddates #chocolate #chocolatedates https://t.co/SpQfbVKCC2",0,0,forsancentral,False
2022-05-11 07:57:10+00:00,Enough is enough! I am demanding that the world’s top #chocolate  companies step up to fully tackle child exploitation in West #Africa #cocoa once and for all https://t.co/PvWVjTKhA9,0,1,essemmex,False
2022-05-11 07:50:12+00:00,"My new training plan: Be more active! Walking, cycling, swimming whatever makes you happy. And chocolate. And tea. #cyclinglife #outdoorlife #cycling #trekking #tea #chocolate #adventuretravel https://t.co/Atl1mvj3GM",3,1,travelsportcopy,False
2022-05-11 07:49:29+00:00,"Do you dream of Salted Caramel? 💙

https://t.co/AadsVCPPYj

#chocolate #SmallBusiness #giftideas https://t.co/ZJGUybNoTY",22,12,JuteAdoreHamper,False
2022-05-11 07:44:02+00:00,"I made this weeks ago for @Iam_Magixx and I've been tagging him on Instagram, here I am guys. Kindly help me get his attention, hell me retweet this till he likes the video. Please 🙏🙇🏼‍♂️ @Iam_Magixx @DONJAZZY @ayrastarr @heisrema #explorepage #chocolate #music #explore #freestyle https://t.co/PRLCLI2bBs",5,1,IJamezjol,False
2022-05-11 07:26:11+00:00,"Congratulations to our Mother's Day giveaway winner, Siphokazi Penelope Mditshwa! Please check your inbox to claim your prize. 

Special thanks to everyone who participated!

#CocoBongo #ChocolateLovers #Chocolate #MakeLifeSweeter #CreatingMomentsOfJoy #RichesterFoods https://t.co/GWjr7WDtcM",2,0,RichesterFoods1,False
2022-05-11 07:24:01+00:00,"Making of Delicious soft serve ice cream ....really love iT....🔥🔥🔥

Premium choice Foodstuff Trading LLC
+971 545333881
visit https://t.co/8pTFDCVViV

#icecream #premiumchoice #foodstufftrading #iloveit #icecreamfantacy #vanilla #chocolate #strawberry #mango https://t.co/GCaxr5MyfC",1,0,ChoiceFoodstuff,False
2022-05-11 07:22:33+00:00,"Absolutely delicious😋
#IceCream
#Garlic
#Chocolate https://t.co/ClGFc9NyFy",1,0,SandN17,False
2022-05-11 07:20:01+00:00,"Here is some evidence that business transparency when finding slavery can be a ‘win’ …
Find out how below.
https://t.co/thAJudyU52

#modernslavery #forcedlabour #chocolate",0,0,FreedomHubOrg,False
2022-05-11 07:18:26+00:00,"Easily make this yummy CHOCOLATE SOUFFLÉ using #UltreanAirFryer

WATCH HERE: https://t.co/5RJ6eT2aj0

 #ultrean #Chocolate #chocolatedessert #airfryerbake",0,0,UltreanOfficial,False
2022-05-11 07:16:37+00:00,"🌺🍫🌺🍫 The popular @wellychocfactor Hibiscus &amp; Blackberry Dark Chocolate with cacao from Vanuatu is back in our online store again! 🇻🇺

🌏 https://t.co/SUdJiiM1uJ

#chocolate #craftchocolate #finechocolate #darkchocolate #beantobar #wellington #aotearoa #newzealand https://t.co/WU8iGvk3hL",6,1,beantobar_nz,False
